map_id,stationame,weekday_total,monthtotal,train_mapID
40900,Howard,108270,142680,40900
41190,Jarvis,30090,42046,41190
40100,Morse,87648,118266,40100
41300,Loyola,92274,123697,41300
40760,Granville,70102,93171,40760
40880,Thorndale,59104,77671,40880
41380,BrynMawr,76600,102983,41380
40340,Berwyn,64602,87543,40340
41200,Argyle,60800,83411,41200
40770,Lawrence,60032,81655,40770
40540,Wilson,129280,170459,40540
40080,Sheridan,99162,135411,40080
41420,Addison-NorthMain,237136,341742,41420
41320,Belmont-NorthMain,242064,342692,41320
41220,Fullerton,230362,296985,41220
40650,North/Clybourn,106280,144363,40650
40630,Clark/Division,159630,217901,40630
41450,Chicago/State,294132,391799,41450
40330,Grand/State,256740,356310,40330
41660,Lake/State,443436,557473,41660
41090,Monroe/State,207202,245475,41090
40560,Jackson/State,162830,195757,40560
41490,Harrison,70824,98777,41490
41400,Roosevelt,228988,309482,41400
41000,Cermak-Chinatown,87606,132660,41000
40190,Sox-35th-DanRyan,93668,137121,40190
41230,47th-DanRyan,54670,73560,41230
41170,Garfield-DanRyan,60730,82443,41170
40910,63rd-DanRyan,58772,78781,40910
40990,69th,87056,117486,40990
40240,79th,126376,167957,40240
41430,87th,76290,102146,41430
40450,95th/DanRyan,184050,237748,40450
41050,Linden,23952,31010,41050
41250,Central-Evanston,16770,20461,41250
40400,Noyes,19384,23766,40400
40520,Foster,18224,22719,40520
40050,Davis,73990,95275,40050
40690,Dempster,17550,23357,40690
40270,Main,23978,31381,40270
40840,SouthBoulevard,16028,19554,40840
40140,Dempster-Skokie,43240,54937,40140
41680,Oakton-Skokie,19554,23424,41680
40890,O'HareAirport,225594,314970,40890
40820,Rosemont,133908,171350,40820
40230,Cumberland,91276,110000,40230
40750,Harlem-O'Hare,59140,70582,40750
41280,JeffersonPark,129320,159458,41280
41330,Montrose-O'Hare,48920,59261,41330
40550,IrvingPark-O'Hare,89104,110445,40550
41240,Addison-O'Hare,56866,68274,41240
40060,Belmont-O'Hare,100698,125162,40060
41020,LoganSquare,152338,190180,41020
40570,California/Milwaukee,117578,144479,40570
40670,Western/Milwaukee,113258,136682,40670
40590,Damen/Milwaukee,135996,175584,40590
40320,Division/Milwaukee,129380,158942,40320
41410,Chicago/Milwaukee,82722,98609,41410
40490,Grand/Milwaukee,63874,80254,40490
40370,Washington/Dearborn,297498,362993,40370
40790,Monroe/Dearborn,171160,191460,40790
40070,Jackson/Dearborn,137784,163041,40070
41340,LaSalle,57764,69332,41340
40430,Clinton-ForestPark,66090,76151,40430
40350,UIC-Halsted,74706,89373,40350
40470,Racine,43240,51950,40470
40810,MedicalCenter,51352,59112,40810
40220,Western-ForestPark,32368,41146,40220
40250,Kedzie-Homan-ForestPark,36824,48492,40250
40920,Pulaski-ForestPark,35394,49006,40920
40970,Cicero-ForestPark,26310,34783,40970
40010,Austin-ForestPark,37996,45723,40010
40180,OakPark-ForestPark,36546,42133,40180
40980,Harlem-ForestPark,23968,29370,40980
40390,ForestPark,64450,78739,40390
41030,Polk,62532,67996,41030
40830,18th,36704,46218,40830
40210,Damen-Cermak,31590,38425,40210
40740,Western-Cermak,22228,27526,40740
40440,California-Cermak,28754,37789,40440
41040,Kedzie-Cermak,21396,27235,41040
40780,CentralPark,22988,28680,40780
40150,Pulaski-Cermak,21882,27871,40150
40600,Kostner,9870,12326,40600
40420,Cicero-Cermak,24880,32315,40420
40580,54th/Cermak,46142,56707,40580
40020,Harlem-Lake,76392,95657,40020
41350,OakPark-Lake,34106,41136,41350
40610,Ridgeland,29170,33804,40610
41260,Austin-Lake,36326,44998,41260
40280,Central-Lake,38970,50174,40280
40700,Laramie,22534,29140,40700
40480,Cicero-Lake,24870,32241,40480
40030,Pulaski-Lake,31896,42019,40030
41670,Conservatory,17584,23165,41670
41070,Kedzie-Lake,27498,34687,41070
41360,California-Lake,21720,26570,41360
40170,Ashland-Lake,50532,61339,40170
41510,Morgan-Lake,82982,100057,41510
41160,Clinton-Lake,94978,113158,41160
41690,Cermak-McCormickPlace,37760,50077,41690
41120,35-Bronzeville-IIT,24622,31349,41120
40300,Indiana,15944,19730,40300
41270,43rd,20074,24711,41270
41080,47th-SouthElevated,21512,27124,41080
40130,51st,18694,23750,40130
40510,Garfield-SouthElevated,22916,28877,40510
41140,KingDrive,9562,11968,41140
40720,East63rd-CottageGrove,20682,26218,40720
40940,Halsted/63rd,10586,13067,40940
40290,Ashland/63rd,20498,25690,40290
41290,Kimball,80902,102861,41290
41180,Kedzie-Brown,41852,54315,41180
40870,Francisco,35438,43447,40870
41010,Rockwell,38234,45997,41010
41480,Western-Brown,83026,105800,41480
40090,Damen-Brown,57944,70633,40090
41500,Montrose-Brown,54336,67631,41500
41460,IrvingPark-Brown,67620,83877,41460
41440,Addison-Brown,51602,61666,41440
41310,Paulina,59670,73408,41310
40360,Southport,75762,96554,40360
41210,Wellington,62466,78193,41210
40530,Diversey,114436,143644,40530
40660,Armitage,88284,108816,40660
40800,Sedgwick,82300,107464,40800
40710,Chicago/Franklin,144044,166244,40710
40460,MerchandiseMart,178910,196175,40460
40930,MidwayAirport,175208,215893,40930
40960,Pulaski-Orange,101526,121694,40960
41150,Kedzie-Midway,67828,83125,41150
40310,Western-Orange,73660,90638,40310
40120,35th/Archer,60426,74129,40120
41060,Ashland-Orange,31920,39912,41060
41130,Halsted-Orange,48272,58566,41130
40730,Washington/Wells,170918,182067,40730
40040,Quincy/Wells,167442,182445,40040
40160,LaSalle/VanBuren,62896,67917,40160
40850,Library,65898,80329,40850
40680,Adams/Wabash,144816,171856,40680
41700,Washington/Wabash,218606,267920,41700
40260,State/Lake,269526,334540,40260
40380,Clark/Lake,444400,504296,40380